FID,Status,Narrative,Date_Time_,Quarter,Date_Time1,Location_1,Location_2,Location_3,Location_4,Location_5,Location_6,Location_7,Location_8,Location_9,Locatio_10,Locatio_11,Locatio_12,Func__Loca,Location_L,Locatio_13,Location_N,Actor_1__P,Actor_1__1,Actor_1__2,Actor_1__3,Actor_2__T,Actor_2__1,Actor_2__2,Actor_2__3,Act_OLD_1,Act_OLD_2,Act_OLD_3,Act_OLD_Mo,Act_1,Act_2,Act_3,Act_4,Act_Mode,NGO_Incide,Section,Region,Inserted_O,Inserted_1,Incident,lon,lat
236,Verified,"OAG operatives with rifles on foot set up an informal VCP along the road. They stopped a golf vehicle in transit, prompting the driver to disembark and flee. The operatives then carjacked the vehicle and left the area.",08/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Dikwa,NG008008,Gajibo,NGA15158, , , , ,Vehicle Check Point (VCP),12.11088,13.98686, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,NGALA - DIKWA RD, ,08/12/2022,15:07,nga:6391f0b9,13.98686,12.11088
238,Verified,"GF/NA at a VCP location stopped a commercial truck driver while in transit along a secondary road. They hit him with the butt of a gun and injured him, following a dispute over taxes.",08/12/2022,4th,09:00,Nigeria,nga,Adamawa,NG002,Lamurde,NG002009,Lafia,NGA11098, , , , ,Vehicle Check Point (VCP),9.651934,11.817681,Lamurde-Gombe Secondary Road.,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Attack,Hand to Hand,Armed Assault, ,Perpetrated, , , ,09/12/2022,10:24,nga:639301d8,11.817681,9.651934
239,Verified,GF/NA on patrol recovered two OAG road-planted IEDs and safely disposed of them via controlled detonation.,08/12/2022,4th,08:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Shettimari,NGA19660, , , , ,Road/Roadside,11.55581,13.56984, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Misc. Events,Controlled Detonation, , ,Perpetrated, ,KONDUGA - BAMA RD, ,08/12/2022,14:18,nga:6391e749,13.56984,11.55581
240,Verified,"GF/NA, acting on a tip-off, arrested two OAG operatives in an IDP camp in the area. The operatives fled from Yaleri Kurna after a clash with GF/NA in the area at about 0200hrs the same day. ",08/12/2022,4th,06:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Mandarari,NGA19570, , , , ,Refugee/IDP Camp,11.660752,13.395686,Mandarari IDP Camp,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,08/12/2022,13:00,nga:6391d551,13.395686,11.660752
241,Verified,"Several OAG operatives with rifles and on motorcycles, as well as others on foot, arrived at the location and attacked a GF/NA position with small arms fire, prompting the GF to return fire. The armed clash lasted for several minutes until the operatives",08/12/2022,4th,02:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Yaleri Kurna,NGA19723, , , , ,Minor Outpost or Camp (Any actor),11.67733,13.4123,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,08/12/2022,12:56,nga:6391d1e7,13.4123,11.67733
248,Verified,"GF/NPF, acting on a tip-off, arrested a Shila gang member and recovered a tricycle from him while he was in transit along a secondary road. The owner of the tricycle gave the tricycle to the perpetrator to work for him, but he fled with the tricycle.",07/12/2022,4th,16:00,Nigeria,nga,Adamawa,NG002,Demsa,NG002001,Nasarawo,NGA9421, , , , ,Road/Roadside,9.44986,12.04751,Secondary Road.,Government Forces,Police,Nigerian Police Force (NPF), ,Criminal,OCG,Shilla (NGA), , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,09/12/2022,09:21,nga:6392f165,12.04751,9.44986
250,Verified,GF/NA fired at least three heavy artillery projectiles toward the eastern outskirts of the location upon reports of suspected OAG movements. There were no reported casualties.,06/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Jere/maiduguri,NG008013,Muna Dalti,NGA18496, , , , ,Population Centre Outskirts,11.8684,13.2445, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,07/12/2022,09:07,nga:63904ccb,13.2445,11.8684
251,Verified,"Several OAG operatives with rifles and on motorcycles, bicycles, and carts arrived at farmland and stole crops.",06/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Maitari,NGA19535, , , , ,Farmland,11.68822,13.36076, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,07/12/2022,17:09,nga:6390be89,13.36076,11.68822
252,Verified,"OAG operatives with rifles arrived at the location and attacked a GF/NA position, prompting the GF to return fire. The armed clash lasted for several minutes until the operatives retreated. There were no reports of casualties.",06/12/2022,4th,19:00,Nigeria,nga,Borno,NG008,Abadam,NG008001,Mallam Fatori,NGA12505, , , , ,Minor Outpost or Camp (Any actor),13.674595,13.339517,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,07/12/2022,08:57,nga:63904a5f,13.339517,13.674595
253,Verified,"GF/NA and vigilante members, while on patrol along the road, sighted and fired shots at OAG operatives with rifles on several motorcycles while they crossed the road, prompting the operatives to return fire. The armed clash lasted for several minutes unt",06/12/2022,4th,17:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Lawan Mainari,NGAcae3e19a6b226e95f8a81fc7dccfd352, , , , ,Road/Roadside,11.83785,12.751, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - NGAMDU RD, ,08/12/2022,16:38,nga:639207c0,12.751,11.83785
254,Verified,"GF/NPF, acting on a tip-off, arrested a criminal and recovered a stolen motorcycle from him while he was in transit along a secondary road. The criminal had stolen the motorcycle from his uncle's private residence in the same area on 03.12.22.",06/12/2022,4th,17:00,Nigeria,nga,Adamawa,NG002,Numan,NG002016,Sabon Pegi(Bare),NGASa1621325121363, , , , ,Road/Roadside,9.53863,12.01448,Secondary Road.,Government Forces,Police,Nigerian Police Force (NPF), ,Criminal,Individual Criminal(s), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,09/12/2022,08:43,nga:6392e803,12.01448,9.53863
255,Verified,"GF/NA, acting on a tip-off, ambushed several OAG operatives with rifles while riding bicycles along a secondary road, prompting the operatives to return fire. The armed clash lasted for several minutes until the operatives retreated. During the armed cla",06/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Ngoromari,NGA13423, , , , ,Road/Roadside,11.44265,13.616244,Ngoromari-Bula Yagu Secondary Road,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,08/12/2022,08:41,nga:63919673,13.616244,11.44265
260,Verified,"OAG operatives with rifles arrived on foot at a location and attacked a GF/NA position, prompting the GF to return fire. The armed clash lasted for several minutes until the operatives retreated. There were no reports of casualties.",05/12/2022,4th,20:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Bazamri,NGA19226, , , , ,Minor Outpost or Camp (Any actor),11.6743,13.4526,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,06/12/2022,08:44,nga:638ef638,13.4526,11.6743
261,Verified,One OAG operative approached a GF/NA position and surrendered. He claimed to have arrived from Sambisa.,05/12/2022,4th,12:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Pulka,NGA17265, , , , ,Minor Outpost or Camp (Any actor),11.224957,13.781282,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,07/12/2022,16:46,nga:6390b794,13.781282,11.224957
263,Verified,"Eight suspected OAG/JAS operatives approached a GF/NA position and surrendered. They claimed to have fled after suspected OAG/ISWAP operatives attacked their camp, IVO Gabchari, on 03.12.2022. This attack was a result of an inter-OAG conflict.",05/12/2022,4th,07:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kawuri,NGA19452, , , , ,Minor Outpost or Camp (Any actor),11.573522,13.536572,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,08/12/2022,16:59,nga:63920d8e,13.536572,11.573522
264,Verified,"Several suspected OAG/JAS operatives with rifles and on motorcycles attacked a suspected OAG/ISWAP camp and killed at least 37 female OAG family members. Reportedly, the suspected ISWAP operatives went to Njimiya Sambisa Forest to attack OAG/JAS camps.",05/12/2022,4th,04:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Sambisa Forest,NGAda8cb0a5833345e7e09555638faedc2f, , , , ,Major Base or Station (Any actor),11.243113,13.4528,Suspected OAG Camp Timbuktu,OAG,Unknown OAG (NGA), , ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,06/12/2022,16:48,nga:638f64a2,13.4528,11.243113
266,Verified,"OAG operatives with rifles arrived at the area and ordered farmers to vacate the location. Additionally, the operatives gave them an ultimatum of four days to comply, and the farmers left the area. A similar event took place on the same day at Malakarant",04/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Marte,NG008022,Alinna Ciki,NGA21579, , , , ,N/A,12.653083,13.983148, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Misc. Events,Displacement, , ,Perpetrated, , , ,05/12/2022,16:51,nga:638e13cf,13.983148,12.653083
267,Verified,"OAG operatives with rifles arrived at the area and ordered farmers to vacate the location. Additionally, the operatives gave them an ultimatum of four days to comply, and they consequently left the area. A similar event took place on the same day at Alli",04/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Kukawa,NG008017,Malum Karamti,NGA19900, , , , ,N/A,13.025565,13.805101, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Misc. Events,Displacement, , ,Perpetrated, , , ,05/12/2022,17:03,nga:638e1761,13.805101,13.025565
268,Verified,"OAG operatives with rifles arrived at the area and ordered farmers to vacate the location. Additionally, the operatives gave them an ultimatum of four days to comply, and they subsequently left the area. A similar event took place on the same day at Alli",04/12/2022,4th,21:00,Nigeria,nga,Borno,NG008,Kukawa,NG008017,Dabar Masara,NGA100634, , , , ,N/A,13.0809,13.8771, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Misc. Events,Displacement, , ,Perpetrated, , , ,05/12/2022,17:11,nga:638e1a0f,13.8771,13.0809
269,Verified,"OAG operatives with rifles set up an informal VCP along the road. They stopped several commercial vehicles in transit, searched the passengers, and asked for their identification before allowing them to continue their journey. There were no reports of ab",04/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Nganzai,NG008026,Mile 40,NGA23472, , , , ,Vehicle Check Point (VCP),12.38146,13.15387, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,VCP, , ,Perpetrated, ,MONGUNO - GAJIRAM RD, ,05/12/2022,14:59,nga:638dfd25,13.15387,12.38146
270,Verified,OAG operatives with rifles set up an informal VCP along the road. They stopped several commercial vehicles in transit and siphoned fuel before allowing them to continue their journey. There were no reports of abductions or casualties.,04/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Karnowa,NGA20980, , , , ,Vehicle Check Point (VCP),12.14182,13.07344, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,05/12/2022,15:11,nga:638dff6f,13.07344,12.14182
271,Verified,GF/NA restricted pedestrian movement in and out of the town and along the road following reports of heightened OAG presence on the outskirts of the area.,04/12/2022,4th,11:00,Nigeria,nga,Borno,NG008,Dikwa,NG008008,Dikwa,NGA15147, , , , ,Road/Roadside,12.04609,13.92301, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Other Misc. Events, , ,Perpetrated, ,NGALA - DIKWA RD, ,05/12/2022,14:23,nga:638df0da,13.92301,12.04609
272,Verified,"GF/NA restricted pedestrian movement out of the town for farming or lumbering, following reports of heightened OAG presence on the outskirts of the area.",04/12/2022,4th,11:00,Nigeria,nga,Borno,NG008,Bama,NG008003,Banki,NGA13085, , , , ,Road/Roadside,11.2514,14.1482, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Other Misc. Events, , ,Perpetrated, , , ,05/12/2022,14:35,nga:638df516,14.1482,11.2514
274,Verified,"At least 100 suspected OAG/JAS operatives with rifles were on 100 motorcycles, split into two groups. One group attacked suspected OAG/ISWAP camps, and the other group proceeded to Sambisa Forest. The armed clash lasted for several hours until suspected",04/12/2022,4th,05:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Sambisa Forest,NGA100500, , , , ,Major Base or Station (Any actor),11.25,13.416667,Suspected OAG Camp Njimiya,OAG,Unknown OAG (NGA), , ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,06/12/2022,16:16,nga:638f5f8d,13.416667,11.25
275,Verified,"GF/vigilantes, acting on a tip-off, apprehended three criminals armed with machetes, bows, and arrows suspected of attacking and injuring a herdsman the same day at Furingal, Dapchi, at about 0200hrs. They were subsequently handed over to GF/NPF.",04/12/2022,4th,04:00,Nigeria,nga,Yobe,NG036,Bursari,NG036002,Beddegana,NGA24995, , , , ,Population Centre Outskirts,12.4289,11.3511,Dan-Takunne town.,Government Forces,Para Military/PSC,Para-Military/PSC (NGA), ,Criminal,Individual Criminal(s), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,07/12/2022,09:27,nga:639051e5,11.3511,12.4289
276,Verified,GF/NA fired at least four heavy artillery projectiles toward the Fadagwe axis upon reports of suspected OAG movements. There were no reported casualties.,03/12/2022,4th,18:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Population Centre Outskirts,11.08309,13.694164, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,05/12/2022,12:21,nga:638dd6c1,13.694164,11.08309
277,Verified,"GF/NA on patrol shot at some OAG operatives with rifles on bicycles and motorcycles along a secondary road, prompting the operatives to return fire for several minutes. The operatives eventually retreated. During the armed clash, GF shot and killed four",03/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Loskuri Kura,NGAf3145141bfdf049f4f66d0c4a4e2b91e, , , , ,Road/Roadside,11.83233,13.40804,Loskuri Kura-Loskuri Gana Secondary Road,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,05/12/2022,12:25,nga:638dd68e,13.40804,11.83233
278,Verified,Four suspected OAG/JAS operatives approached a GF/NA position and surrendered. They claimed that a group of suspected OAG/ISWAP operatives attacked them earlier the same day at Amsuri while they were on their way to surrender.,03/12/2022,4th,16:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kawuri,NGA19452, , , , ,Minor Outpost or Camp (Any actor),11.573522,13.536572,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,06/12/2022,16:02,nga:638f5d6f,13.536572,11.573522
279,Verified,"A GF/vigilante member shot and killed a male civilian following a dispute. Nearby GF/vigilante members deployed to the scene and arrested him. Shortly after, the family members of the victim, upon receiving the information, mobilised and went to the priv",03/12/2022,4th,15:00,Nigeria,nga,Adamawa,NG002,Madagali,NG002010,Kwambula,NGAbc8056f81fbbb37e0b25feecbe81a555, , , , ,N/A,10.767299,13.396156, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,03/12/2022,22:26,nga:638bc234,13.396156,10.767299
280,Verified,GF/NPF arrested an unidentified individual on a motorcycle while in transit along a secondary road. The individual was suspected of having stolen the motorcycle.,03/12/2022,4th,14:00,Nigeria,nga,Adamawa,NG002,Lamurde,NG002009,Lamurde,NGA11099, , , , ,Road/Roadside,9.6,11.8,Lamurde-Tingno Secondary Road.,Government Forces,Police,Nigerian Police Force (NPF), ,Criminal,Individual Criminal(s), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, , , ,06/12/2022,21:42,nga:638fa985,11.8,9.6
281,Verified,"OAG operatives with rifles on several motorcycles set up an informal vehicle check point along the road and attempted to stop a commercial vehicle in transit, but the driver refused to stop, prompting the operatives to fire shots at the vehicle. The shot",03/12/2022,4th,11:00,Nigeria,nga,Borno,NG008,Mafa,NG008019,Maiwa Kura,NGA20472, , , , ,Vehicle Check Point (VCP),11.8803,13.44594, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, ,MAIDUGURI - MAFA RD, ,05/12/2022,11:33,nga:638dca03,13.44594,11.8803
282,Verified,OAG operatives with rifles set up an informal VCP along the road. They stopped several vehicles in transit and robbed the passengers of money and valuables before allowing them to continue their journey.,03/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Karnowa,NGA20980, , , , ,Vehicle Check Point (VCP),12.14169,13.07345, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,MAIDUGURI - GAJIRAM RD, ,05/12/2022,10:09,nga:638db5a0,13.07345,12.14169
283,Verified,GF/NA on patrol recovered an OAG road-planted IED and safely disposed of it via controlled detonation.,03/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Aulari,NGA19203, , , , ,Road/Roadside,11.54408,13.59261, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Misc. Events,Controlled Detonation, , ,Perpetrated, ,KONDUGA - BAMA RD, ,05/12/2022,10:55,nga:638dc01a,13.59261,11.54408
284,Verified,GF/NA temporarily restricted vehicular movements along the road following an OAG road-planted IED incident in the area.,03/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Aulari,NGA19203, , , , ,Road/Roadside,11.54362,13.59356, ,Government Forces,Army,Nigerian Army (NA), ,General Public,Other General Public, , , , , , ,Misc. Events,Other Misc. Events, , ,Perpetrated, ,KONDUGA - BAMA RD, ,05/12/2022,11:07,nga:638dc3d3,13.59356,11.54362
285,Verified,OAG operatives with rifles set up an informal VCP along the road. They stopped several commercial vehicles in transit and robbed the passengers of their money and other valuables before allowing them to continue their journey. They also stopped a truck i,03/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Ngala,NG008025,Maula,NGA100709, , , , ,Vehicle Check Point (VCP),12.15387,14.00748, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, ,NGALA - DIKWA RD, ,05/12/2022,16:13,nga:638e0b50,14.00748,12.15387
286,Verified,OAG/ISWAP operatives with rifles ambushed a GF/NA convoy while it was in transit along a secondary road on the outskirts of the location. They exchanged fire for several minutes until the GF retreated. The outcome was unknown. ISWAP claimed the attack vi,03/12/2022,4th,10:00,Nigeria,nga,Borno,NG008,Abadam,NG008001,Mallam Fatori,NGA12505, , , , ,Road/Roadside,13.6078,13.2782,Along Arege - Mallam Fatori Secondary Road,OAG,ISWAP, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,15/12/2022,15:50,nga:639b34eb,13.2782,13.6078
287,Verified,One suspected OAG/JAS operative approached a GF/NA position and surrendered. He handed over one rifle and claimed to have fled after suspected OAG/ISWAP operatives attacked them at Gabchari earlier the same day.,03/12/2022,4th,07:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kawuri,NGA19452, , , , ,Minor Outpost or Camp (Any actor),11.573522,13.536572,GF Position,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Misc. Events,Surrender, , ,Perpetrated, , , ,06/12/2022,09:11,nga:638efa67,13.536572,11.573522
288,Verified,"Twelve suspected OAG/ISWAP operatives with rifles on five motorcycles arrived at the OAG camp and attacked suspected OAG/JAS operatives. They fired shots that killed four JAS operatives, while others fled. They subsequently stole three rifles and livesto",03/12/2022,4th,07:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Amusuri,NGA19192, , , , ,Minor Outpost or Camp (Any actor),11.633523,13.495425,Suspected OAG Camp,OAG,Unknown OAG (NGA), , ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,06/12/2022,09:15,nga:638efd42,13.495425,11.633523
289,Verified,"Several suspected OAG/ISWAP operatives aboard two light trucks mounted with HMGs and on at least 50 motorcycles attacked a suspected OAG/JAS camp, prompting them to return fire. The armed clash lasted for several minutes until the ISWAP retreated. During",03/12/2022,4th,04:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Gabchari,NGA19346, , , , ,Minor Outpost or Camp (Any actor),11.61688,13.65611,Suspected OAG Camp,OAG,Unknown OAG (NGA), , ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,06/12/2022,09:27,nga:638efd30,13.65611,11.61688
295,Verified,"Several OAG operatives with rifles arrived at a farmland where they stole foodstuff. They also destroyed the remaining crops. They travelled on motorcycles, bicycles, and carts.",01/12/2022,4th,22:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Bazamri,NGA19226, , , , ,Farmland,11.6743,13.4526, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Theft,Armed Robbery (Firearm), , ,Perpetrated, , , ,02/12/2022,11:05,nga:6389d175,13.4526,11.6743
296,Verified,GF/NA fired four heavy artillery projectiles toward the northeastern outskirts of the location upon suspected OAG movements. There were no reported casualties.,01/12/2022,4th,20:00,Nigeria,nga,Borno,NG008,Damboa,NG008007,Damboa,NGA14847, , , , ,Population Centre Outskirts,11.150664,12.759583, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,02/12/2022,10:13,nga:6389c54c,12.759583,11.150664
297,Verified,OAG/ISWAP operatives with rifles aboard two light trucks arrived at the location and fired several shots at GF/NA members stationed at the location. GF returned fire for several minutes until the operatives retreated. There were no reports of casualties.,01/12/2022,4th,18:00,Nigeria,nga,Borno,NG008,Damboa,NG008007,Wajiroko,NGA100431, , , , ,Minor Outpost or Camp (Any actor),10.931,12.523,GF Position,OAG,ISWAP, , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,02/12/2022,10:09,nga:6389c448,12.523,10.931
298,Verified,"Four OAG operatives with rifles and on foot arrived at the farmland, abducted three male civilians, and gave another a phone number to give to the relatives of the abductees. On 03.12.22 the operatives released the abducted victim in IVO Kayamla after re",01/12/2022,4th,15:00,Nigeria,nga,Borno,NG008,Jere/maiduguri,NG008013,Alau Dam,NGA100513, , , , ,Farmland,11.7511,13.1733, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Confine,Abduction,Kidnap, ,Perpetrated, , , ,02/12/2022,12:35,nga:6389e52a,13.1733,11.7511
299,Verified,"GF/NA, acting on a tip-off, ambushed four OAG operatives with rifles, prompting the operatives to return fire. The armed clash lasted for several minutes until the operatives retreated. During the armed clash, GF shot and killed four operatives and seize",01/12/2022,4th,05:00,Nigeria,nga,Borno,NG008,Kukawa,NG008017,Kekeno,NGA100643, , , , ,Road/Roadside,12.766667,13.7,Secondary Road,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,01/12/2022,10:11,nga:63887347,13.7,12.766667
300,Verified,GF/NA fired at least three heavy artillery projectiles toward Guduf Mountain upon sighting suspected OAG movements. There were no casualties reported.,30/11/2022,4th,17:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Gwoza,NGA17121, , , , ,Population Centre Outskirts,11.08309,13.694164, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,01/12/2022,09:42,nga:63886c1a,13.694164,11.08309
301,Verified,GF/NA fired several heavy artillery projectiles toward the eastern outskirts of the town upon sighting suspected OAG movements. There were no casualties reported.,30/11/2022,4th,17:00,Nigeria,nga,Yobe,NG036,Gujba,NG036007,Buni Gari,NGABu1649757782522, , , , ,Population Centre Outskirts,11.2004,12.0352, ,Government Forces,Army,Nigerian Army (NA), ,OAG,Unknown OAG (NGA), , , , , , ,Attack,"Artillery, Rockets & Missiles",Artillery, ,Perpetrated, , , ,01/12/2022,10:31,nga:63887549,12.0352,11.2004
302,Verified,"OAG operatives with rifles, aboard two light trucks mounted with HMGs, and on four motorcycles set up an informal VCP along the road. They stopped several commercial vehicles in transit, searched the passengers, and asked about NGO workers that gathered",30/11/2022,4th,13:00,Nigeria,nga,Borno,NG008,Magumeri,NG008020,Madamari,NGA21099, , , , ,Vehicle Check Point (VCP),12.29276,12.78388, ,OAG,Unknown OAG (NGA), , ,General Public,Other General Public, , , , , , ,Attack,Hand to Hand,Arson, ,Perpetrated, ,MAIDUGURI - GUBIO RD, ,01/12/2022,09:29,nga:638868f5,12.78388,12.29276
303,Verified,"GF/CJTF, acting on a tip-off, apprehended two male OAG logistic suppliers at the exit of the town on their way to supply clothes and foodstuff to OAG operatives. GF seized the foodstuff and clothes from them.",30/11/2022,4th,12:00,Nigeria,nga,Borno,NG008,Konduga,NG008016,Kawuri,NGA19452, , , , ,N/A,11.5756,13.53211, ,Government Forces,Para Military/PSC,Civilian Joint Task Force (CJTF), ,OAG,Unknown OAG (NGA), , , , , , ,Confine,Arrest (lawful), , ,Perpetrated, ,KONDUGA - BAMA RD, ,01/12/2022,09:00,nga:63886102,13.53211,11.5756
305,Verified,"OAG operatives with rifles arrived at the outskirts of the location and opened small arms fire toward the location. The shots killed one hunter and injured another. Subsequently, GF/NA returned fire in the direction of the operatives until the operatives",29/11/2022,4th,21:00,Nigeria,nga,Borno,NG008,Gwoza,NG008011,Fadagwe,NGA17062, , , , ,N/A,11.116667,13.616667, ,OAG,Unknown OAG (NGA), , ,Government Forces,Army,Nigerian Army (NA), , , , , ,Attack,Small Arms & Light Weapons,Small Arms, ,Perpetrated, , , ,01/12/2022,08:35,nga:63885bf3,13.616667,11.116667
